id;beraternummer;mandantennummer;PNR;lohnart;lohnart_text;wert;kostenstelle;kostentraeger;artdertaetigkeit;freitext;abrechnungsmonat;abrechnungsjahr;agenturprovprozent;agenturprovprozent_AN;agenturprovwert_AN;agenturprovwert_AG;lohnartustabzug;ustwert;kontoust;exportlodas;exportlohnundgehalt;exportwiederholung;exportdatum
24;228198;20201;2;6601;Honorar 250 EUR ohne Steuer;22222.22;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;5.0;50.0;-566.55;-566.55;9609;-4222.18;99993;J;X;X;30.01.2022
25;228198;20201;2;6611;Honorar 15% pauschal;22222.02;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;5.0;50.0;-566.55;-566.55;9609;-4222.18;99993;J;X;X;30.01.2022
26;228198;20201;2;9601;Abzugssteuer 15% pauschal;-3333.3;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
27;228198;20201;2;9603;Abzug Soli 5,5% pauschal;-183.33;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
28;228198;20201;2;6611;Honorar 15% pauschal;22.22;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;5.0;50.0;-11.55;-11.55;9609;-4.18;99993;J;X;X;30.01.2022
29;228198;20201;2;9602;Abzugssteuer 30% pauschal;-6.67;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
30;228198;20201;2;9603;Abzug Soli 5,5% pauschal;-0.37;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
31;228198;20201;2;6622;Betriebsausgaben bei Honorar;1.11;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
32;228198;20201;2;6631;Honorar Nettovereinbarung;235.55;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;5.0;50.0;-16.88;-16.87;9609;-44.65;99993;J;X;X;30.01.2022
33;228198;20201;2;6649;Verrechnung Steuer/Soli bei Nettovereinbarung;44.29;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
34;228198;20201;2;9604;Abzugssteuer 17,82% pauschal;-41.98;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
35;228198;20201;2;9605;Abzug Soli 0,98% pauschal;-2.31;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;0;0;0;0;0;0;0;J;X;X;30.01.2022
36;228198;20201;2;6633;Honorar Nettovereinbarung bis 250 EUR;255.00;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;5.0;50.0;-17.38;-17.37;9609;-48.45;99993;J;X;X;30.01.2022
37;228198;20201;2;6641;Honorar ohne Steuer wegen DBA;1547.00;1000;60116;Selbstständige Tätigkeit - inländische Verwertung einer Darbietung (§ 50a Abs. 1 Nr. 2);Text eben auch;03;2022;5.0;50.0;-49.67;-49.68;9609;-293.93;99993;J;X;X;30.01.2022
61;228198;20201;1001;6621;Honorar abzgl. Betriebsausgaben;1000.00;;;Selbstständige Tätigkeit - künstlerische oder sportliche Darbietung (§ 50a Abs. 1 Nr. 1);;03;2022;10.0;50.0;-50.0;-50.0;9609;-190.0;3837;N;N;N;00.00.0000
62;228198;20201;1001;9602;Abzugssteuer 30% pauschal;-300.0;;;Selbstständige Tätigkeit - künstlerische oder sportliche Darbietung (§ 50a Abs. 1 Nr. 1);;03;2022;0;0;0;0;0;0;0;N;N;N;00.00.0000
63;228198;20201;1001;9603;Abzug Soli 5,5% pauschal;-16.5;;;Selbstständige Tätigkeit - künstlerische oder sportliche Darbietung (§ 50a Abs. 1 Nr. 1);;03;2022;0;0;0;0;0;0;0;N;N;N;00.00.0000
64;228198;20201;1002;6621;Honorar abzgl. Betriebsausgaben;1000.00;;;Selbstständige Tätigkeit - künstlerische oder sportliche Darbietung (§ 50a Abs. 1 Nr. 1);;03;2022;10.0;50.0;-50.0;-50.0;9609;-190.0;3837;N;N;N;00.00.0000
